-0.75,0.35,-6.75
1.5,0.35,-6.75
2.25,0.35,-6.75
3,0.35,-6.75
3.75,0.35,-6.75
4.5,0.35,-6.75
-1.5,0.35,-6.75
-2.25,0.35,-6.75
-3,0.35,-6.75
-3.75,0.35,-6.75
-4.5,0.35,-6.75
-4.5,0.35,-7.5
-4.5,0.35,-8.25
-4.5,0.35,-9
-4.5,0.35,-9.75
-4.5,0.35,-10.5
-4.5,0.35,-11.25
-4.5,0.35,-12
-3.75,0.35,-12
-3,0.35,-12
-2.25,0.35,-12
-2.25,0.35,-12
-1.5,0.35,-12
-0.75,0.35,-12
0,0.35,-12
5.25,0.35,-6.75
5.25,0.35,-7.5
5.25,0.35,-8.25
5.25,0.35,-9
5.25,0.35,-9.75
5.25,0.35,-10.5
0.75,0.35,-12
1.5,0.35,-12
2.25,0.35,-12
3,0.35,-12
3.75,0.35,-12
4.5,0.35,-12
5.25,0.35,-12
5.25,0.35,-11.25
-1.5,1.1,-6.75
-2.25,1.1,-6.75
-3,1.1,-6.75
-4.5,1.1,-6.75
-3.75,1.1,-6.75
-4.5,1.1,-7.5
-4.5,1.1,-8.25
-4.5,1.1,-9
-4.5,1.1,-9.75
-4.5,1.1,-10.5
-4.5,1.1,-11.25
-4.5,1.1,-12
-3.75,1.1,-12
-3,1.1,-12
-2.25,1.1,-12
-2.25,1.1,-12
-1.5,1.1,-12
-0.75,1.1,-12
-0,0.35,-12
0,1.1,-12
0.75,1.1,-12
1.5,1.1,-12
2.25,1.1,-12
3,1.1,-12
3.75,1.1,-12
4.5,1.1,-12
5.25,1.1,-12
5.25,1.1,-11.25
5.25,1.1,-10.5
5.25,1.1,-9.75
5.25,1.1,-9
5.25,1.1,-8.25
5.25,1.1,-8.25
5.25,1.1,-7.5
5.25,1.1,-7.5
5.25,1.1,-6.75
4.5,1.1,-6.75
3.75,1.1,-6.75
3,1.1,-6.75
2.25,1.1,-6.75
1.5,1.1,-6.75
-3.75,1.85,-6.75
-4.5,1.85,-6.75
-4.5,1.85,-7.5
-4.5,1.85,-8.25
-4.5,1.85,-9
-4.5,1.85,-9.75
-4.5,1.85,-10.5
-4.5,1.85,-11.25
-4.5,1.85,-12
-3.75,1.85,-12
-3,1.85,-12
-2.25,1.85,-12
-1.5,1.85,-12
-0.75,1.85,-12
0,1.85,-12
0.75,1.85,-12
1.5,1.85,-12
4.5,1.85,-6.75
5.25,1.85,-6.75
5.25,1.85,-7.5
5.25,1.85,-8.25
5.25,1.85,-9
5.25,1.85,-9.75
5.25,1.85,-10.5
5.25,1.85,-11.25
5.25,1.85,-12
4.5,1.85,-12
3.75,1.85,-12
3,1.85,-12
2.25,1.85,-12
5.25,2.6,-8.25
5.25,2.6,-9
5.25,1.85,-9.75
5.25,2.6,-10.5
5.25,2.6,-9.75
5.25,2.6,-11.25
5.25,2.6,-12
3.75,2.6,-12
4.5,2.6,-12
3,2.6,-12
2.25,2.6,-12
1.5,2.6,-12
0.75,2.6,-12
-0,2.6,-12
-0.75,2.6,-12
-1.5,2.6,-12
-2.25,2.6,-12
-3,2.6,-12
-3.75,2.6,-12
-4.5,2.6,-12
-4.5,1.85,-10.5
-4.5,2.6,-9.75
-4.5,2.6,-10.5
-4.5,2.6,-11.25
-4.5,2.6,-9
-4.5,2.6,-8.25
-4.5,2.6,-7.5
-4.5,2.6,-6.75
-3.75,1.85,-7.5
-4.5,3.35,-9
-4.5,3.35,-10.5
-4.5,3.35,-8.25
-4.5,3.35,-7.5
-4.5,3.35,-6.75
5.25,3.35,-10.5
4.5,3.35,-12
5.25,3.35,-11.25
5.25,3.35,-12
3.75,3.35,-12
3.75,3.35,-11.25
3.75,3.35,-10.5
3.75,3.35,-9.75
3,3.35,-12
3,3.35,-11.25
2.25,3.35,-12
2.25,3.35,-11.25
1.5,3.35,-11.25
1.5,3.35,-12
0.75,3.35,-11.25
0.75,3.35,-12
0,3.35,-11.25
0,3.35,-12
-0.75,3.35,-11.25
-0.75,3.35,-12
-1.5,3.35,-12
-1.5,3.35,-11.25
-2.25,3.35,-11.25
-2.25,3.35,-12
-3,3.35,-11.25
-3,3.35,-12
-3.75,3.35,-11.25
-3.75,3.35,-12
-4.5,3.35,-11.25
-4.5,3.35,-12
-4.5,3.35,-9.75
-3,3.35,-10.5
-3.75,3.35,-10.5
-2.25,3.35,-10.5
-1.5,3.35,-10.5
-0.75,3.35,-10.5
-0,3.35,-10.5
0.75,3.35,-10.5
1.5,3.35,-10.5
3,3.35,-10.5
2.25,3.35,-10.5
4.5,3.35,-10.5
4.5,3.35,-10.5
-5.25,3.35,-6.75
-5.25,3.35,-7.5
-5.25,3.35,-8.25
-5.25,3.35,-9
-5.25,3.35,-9.75
-5.25,3.35,-10.5
-5.25,3.35,-11.25
-5.25,3.35,-12
6,3.35,-12
6,3.35,-11.25
6,3.35,-10.5
4.5,3.35,-11.25
6,3.35,-9.75
6,3.35,-9
6,3.35,-8.25
2.25,3.35,-9.75
1.5,3.35,-9.75
0.75,3.35,-9.75
-0,3.35,-9.75
-0.75,3.35,-9.75
-1.5,3.35,-9.75
-2.25,3.35,-9
-2.25,3.35,-9.75
-3,3.35,-9.75
-3.75,3.35,-9.75
-3,3.35,-9
-3.75,3.35,-9
-3.75,3.35,-8.25
-3,3.35,-8.25
-2.25,3.35,-8.25
-1.5,3.35,-9
-0.75,3.35,-9
0,3.35,-9
0.75,3.35,-9
1.5,3.35,-9
3,3.35,-9.75
4.5,3.35,-9.75
5.25,3.35,-9.75
-3.75,3.35,-6.75
-3.75,3.35,-7.5
-3,3.35,-6.75
-3,3.35,-7.5
-2.25,3.35,-7.5
-2.25,3.35,-6.75
-1.5,3.35,-6.75
-1.5,3.35,-7.5
-1.5,3.35,-8.25
-0.75,3.35,-8.25
-0.75,3.35,-7.5
-0.75,3.35,-6.75
-0,3.35,-6.75
-0,3.35,-8.25
-0,3.35,-7.5
0.75,3.35,-7.5
0.75,3.35,-8.25
0.75,3.35,-6.75
1.5,3.35,-8.25
1.5,3.35,-7.5
1.5,3.35,-6.75
2.25,3.35,-9
3,3.35,-9
3.75,3.35,-9
2.25,3.35,-8.25
2.25,3.35,-7.5
2.25,3.35,-6.75
3,3.35,-8.25
3.75,3.35,-8.25
4.5,3.35,-8.25
5.25,3.35,-8.25
5.25,3.35,-9
4.5,3.35,-9
5.25,2.6,-7.5
5.25,2.6,-6.75
3.75,3.35,-7.5
3,3.35,-7.5
4.5,3.35,-7.5
5.25,3.35,-7.5
6,3.35,-7.5
5.25,3.35,-6.75
3.75,3.35,-6.75
3,3.35,-6.75
4.5,3.35,-6.75
6,3.35,-6.75
-3.75,2.6,-6.75
5.25,2.6,-6.75
4.5,2.6,-6.75
1.5,1.85,-6.75
1.5,3.35,-6.75
1.5,3.35,-6.75
1.5,2.6,-6.75
-0.75,1.1,-6.75
-0.75,2.6,-6.75
-0.75,2.6,-6.75
-0.75,1.85,-6.75
